region,subregion,country,area,country_area,date,confirmed_cases,deaths,recovered,population,lat,long,lat_long_flag,pop_flag,active,confirmed_cases_rate,deaths_rate,recovered_rate,active_rate,C_xs_T,devt_time
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,24/02/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-37
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,25/02/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-36
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,26/02/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-35
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,27/02/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-34
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,28/02/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-33
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,29/02/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-32
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,01/03/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-31
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,02/03/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-30
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,03/03/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-29
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,04/03/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-28
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,05/03/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-27
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,06/03/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-26
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,07/03/2020,1,0,0,38.928341,33.93911,67.709953,1,1,1,0.025688225,0,0,1,0,-25
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,08/03/2020,4,0,0,38.928341,33.93911,67.709953,1,1,4,0.102752902,0,0,1,0,-24
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,09/03/2020,4,0,0,38.928341,33.93911,67.709953,1,1,4,0.102752902,0,0,1,0,-23
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,10/03/2020,5,0,0,38.928341,33.93911,67.709953,1,1,5,0.128441127,0,0,1,0,-22
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,11/03/2020,7,0,0,38.928341,33.93911,67.709953,1,1,7,0.179817578,0,0,1,0,-21
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,12/03/2020,7,0,0,38.928341,33.93911,67.709953,1,1,7,0.179817578,0,0,1,0,-20
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,13/03/2020,7,0,0,38.928341,33.93911,67.709953,1,1,7,0.179817578,0,0,1,0,-19
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,14/03/2020,11,0,0,38.928341,33.93911,67.709953,1,1,11,0.28257048,0,0,1,0,-18
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,15/03/2020,16,0,0,38.928341,33.93911,67.709953,1,1,16,0.411011607,0,0,1,0,-17
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,16/03/2020,21,0,1,38.928341,33.93911,67.709953,1,1,20,0.539452734,0,0.047619048,0.952380952,0,-16
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,17/03/2020,22,0,1,38.928341,33.93911,67.709953,1,1,21,0.56514096,0,0.045454545,0.954545455,0,-15
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,18/03/2020,22,0,1,38.928341,33.93911,67.709953,1,1,21,0.56514096,0,0.045454545,0.954545455,0,-14
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,19/03/2020,22,0,1,38.928341,33.93911,67.709953,1,1,21,0.56514096,0,0.045454545,0.954545455,0,-13
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,20/03/2020,24,0,1,38.928341,33.93911,67.709953,1,1,23,0.616517411,0,0.041666667,0.958333333,0,-12
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,21/03/2020,24,0,1,38.928341,33.93911,67.709953,1,1,23,0.616517411,0,0.041666667,0.958333333,0,-11
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,22/03/2020,40,1,1,38.928341,33.93911,67.709953,1,1,38,1.027529018,0.025,0.025,0.95,0,-10
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,23/03/2020,40,1,1,38.928341,33.93911,67.709953,1,1,38,1.027529018,0.025,0.025,0.95,0,-9
Central And Southern Asia,Southern Asia,Afghanistan,,Afghanistan,24/03/2020,74,1,1,38.928341,33.93911,67.709953,1,1,72,1.900928683,0.013513514,0.013513514,0.972972973,0,-8
