col_name,factors,levels,coef,w_stderr,ci_95_upper,ci_95_lower,factors_label
country_grp_2[grp 01],country_grp_2,grp 01,-7.472763810531882,0.05162981698339491,-7.371557021242968,-7.573970599820796,Country Group
country_grp_2[grp 02],country_grp_2,grp 02,-5.042374403924869,0.03235460447662059,-4.97895164108911,-5.105797166760628,Country Group
country_grp_2[grp 03],country_grp_2,grp 03,-4.637538073461024,0.03056727413705436,-4.577618905556162,-4.697457241365886,Country Group
country_grp_2[grp 04],country_grp_2,grp 04,-4.550168342539746,0.041891070175603916,-4.4680518261532365,-4.632284858926256,Country Group
country_grp_2[grp 05],country_grp_2,grp 05,-4.445744459679275,0.03789132080973397,-4.37146840864654,-4.520020510712009,Country Group
country_grp_2[grp 06],country_grp_2,grp 06,-4.390133239503144,0.033995567339759426,-4.323493796996139,-4.456772682010149,Country Group
country_grp_2[grp 07],country_grp_2,grp 07,-4.333734387190052,0.03907855625042526,-4.257131070749404,-4.4103377036307005,Country Group
country_grp_2[grp 08],country_grp_2,grp 08,-4.246656030989807,0.04090506818453335,-4.166472314322126,-4.326839747657488,Country Group
country_grp_2[grp 09],country_grp_2,grp 09,-4.225580728056442,0.031292465389313094,-4.164240011857401,-4.286921444255483,Country Group
country_grp_2[grp 10],country_grp_2,grp 10,-3.9975166763968124,0.0331994803176899,-3.9324377548485425,-4.062595597945083,Country Group
country_grp_2[grp 01]:standardize(time_1),country_grp_2:standardize(time_1),grp 01 time_1,-1.1634543593526476,0.04676387689969987,-1.0717859763862156,-1.2551227423190796,Devt Time <=30
country_grp_2[grp 02]:standardize(time_1),country_grp_2:standardize(time_1),grp 02 time_1,-0.539113199531167,0.02691753738662745,-0.48634838854334117,-0.5918780105189928,Devt Time <=30
country_grp_2[grp 03]:standardize(time_1),country_grp_2:standardize(time_1),grp 03 time_1,-0.6501220976195053,0.031343333408067796,-0.5886816679378987,-0.711562527301112,Devt Time <=30
country_grp_2[grp 04]:standardize(time_1),country_grp_2:standardize(time_1),grp 04 time_1,-0.6937078807603712,0.06153871208114859,-0.5730772872273544,-0.8143384742933879,Devt Time <=30
country_grp_2[grp 05]:standardize(time_1),country_grp_2:standardize(time_1),grp 05 time_1,-0.2595500070388826,0.0523896588562986,-0.1568537459521392,-0.362246268125626,Devt Time <=30
country_grp_2[grp 06]:standardize(time_1),country_grp_2:standardize(time_1),grp 06 time_1,-0.7076507187319722,0.04611021115179923,-0.6172636769648405,-0.7980377604991038,Devt Time <=30
country_grp_2[grp 07]:standardize(time_1),country_grp_2:standardize(time_1),grp 07 time_1,-0.47687930260795613,0.05194475032614012,-0.37505516864649524,-0.578703436569417,Devt Time <=30
country_grp_2[grp 08]:standardize(time_1),country_grp_2:standardize(time_1),grp 08 time_1,-0.9685518724756663,0.06457781283755487,-0.8419639146161344,-1.0951398303351982,Devt Time <=30
country_grp_2[grp 09]:standardize(time_1),country_grp_2:standardize(time_1),grp 09 time_1,-0.421705282358076,0.04330810633651711,-0.33681103619192265,-0.5065995285242293,Devt Time <=30
country_grp_2[grp 10]:standardize(time_1),country_grp_2:standardize(time_1),grp 10 time_1,-0.25384495393729933,0.04240325689772372,-0.1707244290787309,-0.3369654787958678,Devt Time <=30
tail_grp[tail grp 01]:standardize(time_2),tail_grp:standardize(time_2),tail grp 01 time_2,-2.8850058812440253,0.0680834695903484,-2.751545997721589,-3.0184657647664617,Tail Devt Time >30
tail_grp[tail grp 02]:standardize(time_2),tail_grp:standardize(time_2),tail grp 02 time_2,-1.7722407931756177,0.028344552243277275,-1.7166786917779584,-1.827802894573277,Tail Devt Time >30
